SignalLength,TimeNaive_ms,StdNaive_ms,TimeVec_ms,StdVec_ms,TimeQ15_ms,StdQ15_ms,AlphaQ15,PValue_vs_Naive,CI95_Q15_ms,CPULoad_percent,Freq_GHz,ActivePower_W,EnergyPerWindow_mJ,BatteryPerDay_percent
150,1.189476,0.387746112425399,0.231439,0.178417698478327,2.877089,0.291936752488506,-18.0495877735065,2.98586209658678e-86,0.0572196034877472,0.0159838277777778,1,0.4,1.1508356,77.3569701853344
300,1.91606,0.111789424157813,0.224083,0.0240737505523457,5.958539,0.163228873148389,-11.0534218458434,2.98063316123999e-232,0.0319928591370843,0.0331029944444444,1,0.4,2.3834156,77.3569701853344
500,2.661831,0.289905965142583,0.239184,0.0542196723775354,9.816021,0.559862253314026,-9.27931756130958,3.9860306256103e-182,0.109733001649549,0.05453345,1,0.4,3.9264084,77.3569701853344
1000,4.514522,0.526802128643606,0.278935,0.0821149150135149,20.119178,1.21141275832239,-7.46144883085817,1.56527729151465e-185,0.237436900631188,0.111773211111111,1.8,1.3,26.1549314,77.3595641164222
