time,x_q15,y_q15,z_q15,x_scale,y_scale,z_scale
2.002002002002002,-17060,4035,15251,3.225274392402202,3.696552443387321,0.05900727777802583
2.012012012012012,-17108,3894,15237,3.225274392402202,3.696552443387321,0.05900727777802583
2.022022022022022,-17155,3752,15222,3.225274392402202,3.696552443387321,0.05900727777802583
2.032032032032032,-17200,3609,15208,3.225274392402202,3.696552443387321,0.05900727777802583
2.042042042042042,-17243,3466,15195,3.225274392402202,3.696552443387321,0.05900727777802583
2.052052052052052,-17285,3322,15181,3.225274392402202,3.696552443387321,0.05900727777802583
2.062062062062062,-17325,3177,15169,3.225274392402202,3.696552443387321,0.05900727777802583
2.0720720720720722,-17363,3032,15156,3.225274392402202,3.696552443387321,0.05900727777802583
2.0820820820820822,-17400,2886,15144,3.225274392402202,3.696552443387321,0.05900727777802583
2.0920920920920922,-17435,2740,15132,3.225274392402202,3.696552443387321,0.05900727777802583
2.1021021021021022,-17468,2592,15120,3.225274392402202,3.696552443387321,0.05900727777802583
2.1121121121121122,-17500,2445,15109,3.225274392402202,3.696552443387321,0.05900727777802583
2.1221221221221223,-17530,2297,15099,3.225274392402202,3.696552443387321,0.05900727777802583
2.1321321321321323,-17558,2148,15088,3.225274392402202,3.696552443387321,0.05900727777802583
2.1421421421421423,-17585,1998,15078,3.225274392402202,3.696552443387321,0.05900727777802583
2.1521521521521523,-17610,1849,15068,3.225274392402202,3.696552443387321,0.05900727777802583
2.1621621621621623,-17633,1698,15059,3.225274392402202,3.696552443387321,0.05900727777802583
2.1721721721721723,-17654,1547,15050,3.225274392402202,3.696552443387321,0.05900727777802583
2.1821821821821823,-17674,1396,15041,3.225274392402202,3.696552443387321,0.05900727777802583
2.1921921921921923,-17692,1244,15033,3.225274392402202,3.696552443387321,0.05900727777802583
2.2022022022022023,-17708,1092,15025,3.225274392402202,3.696552443387321,0.05900727777802583
2.2122122122122123,-17722,939,15018,3.225274392402202,3.696552443387321,0.05900727777802583
2.2222222222222223,-17735,786,15010,3.225274392402202,3.696552443387321,0.05900727777802583
2.2322322322322323,-17746,633,15003,3.225274392402202,3.696552443387321,0.05900727777802583
2.2422422422422423,-17755,479,14997,3.225274392402202,3.696552443387321,0.05900727777802583
2.2522522522522523,-17762,324,14991,3.225274392402202,3.696552443387321,0.05900727777802583
2.2622622622622623,-17768,170,14985,3.225274392402202,3.696552443387321,0.05900727777802583
2.2722722722722724,-17772,15,14979,3.225274392402202,3.696552443387321,0.05900727777802583
2.2822822822822824,-17774,-140,14974,3.225274392402202,3.696552443387321,0.05900727777802583
2.2922922922922924,-17774,-295,14970,3.225274392402202,3.696552443387321,0.05900727777802583
2.3023023023023024,-17772,-451,14965,3.225274392402202,3.696552443387321,0.05900727777802583
2.3123123123123124,-17769,-607,14961,3.225274392402202,3.696552443387321,0.05900727777802583
2.3223223223223224,-17764,-764,14957,3.225274392402202,3.696552443387321,0.05900727777802583
2.3323323323323324,-17757,-921,14954,3.225274392402202,3.696552443387321,0.05900727777802583
2.3423423423423424,-17748,-1078,14951,3.225274392402202,3.696552443387321,0.05900727777802583
2.3523523523523524,-17738,-1235,14948,3.225274392402202,3.696552443387321,0.05900727777802583
2.3623623623623624,-17725,-1393,14946,3.225274392402202,3.696552443387321,0.05900727777802583
2.3723723723723724,-17711,-1550,14944,3.225274392402202,3.696552443387321,0.05900727777802583
2.3823823823823824,-17695,-1708,14942,3.225274392402202,3.696552443387321,0.05900727777802583
2.3923923923923924,-17678,-1866,14941,3.225274392402202,3.696552443387321,0.05900727777802583
2.4024024024024024,-17658,-2025,14940,3.225274392402202,3.696552443387321,0.05900727777802583
2.4124124124124124,-17637,-2183,14940,3.225274392402202,3.696552443387321,0.05900727777802583
2.4224224224224224,-17613,-2341,14940,3.225274392402202,3.696552443387321,0.05900727777802583
2.4324324324324325,-17588,-2500,14940,3.225274392402202,3.696552443387321,0.05900727777802583
2.4424424424424425,-17561,-2659,14940,3.225274392402202,3.696552443387321,0.05900727777802583
2.4524524524524525,-17533,-2817,14941,3.225274392402202,3.696552443387321,0.05900727777802583
2.4624624624624625,-17502,-2976,14942,3.225274392402202,3.696552443387321,0.05900727777802583
2.4724724724724725,-17470,-3135,14944,3.225274392402202,3.696552443387321,0.05900727777802583
2.4824824824824825,-17436,-3294,14946,3.225274392402202,3.696552443387321,0.05900727777802583
2.4924924924924925,-17400,-3453,14948,3.225274392402202,3.696552443387321,0.05900727777802583
2.5025025025025025,-17362,-3612,14951,3.225274392402202,3.696552443387321,0.05900727777802583
2.5125125125125125,-17322,-3770,14954,3.225274392402202,3.696552443387321,0.05900727777802583
2.5225225225225225,-17281,-3929,14957,3.225274392402202,3.696552443387321,0.05900727777802583
2.5325325325325325,-17238,-4088,14961,3.225274392402202,3.696552443387321,0.05900727777802583
2.5425425425425425,-17193,-4247,14965,3.225274392402202,3.696552443387321,0.05900727777802583
2.5525525525525525,-17146,-4405,14970,3.225274392402202,3.696552443387321,0.05900727777802583
2.5625625625625625,-17097,-4564,14975,3.225274392402202,3.696552443387321,0.05900727777802583
2.5725725725725725,-17047,-4722,14980,3.225274392402202,3.696552443387321,0.05900727777802583
2.5825825825825826,-16994,-4881,14985,3.225274392402202,3.696552443387321,0.05900727777802583
2.5925925925925926,-16940,-5039,14991,3.225274392402202,3.696552443387321,0.05900727777802583
2.6026026026026026,-16884,-5197,14998,3.225274392402202,3.696552443387321,0.05900727777802583
2.6126126126126126,-16826,-5354,15004,3.225274392402202,3.696552443387321,0.05900727777802583
