time,z
5.195195,0.054955
5.205205,0.055097
5.215215,0.055238
5.225225,0.055376
5.235235,0.055513
5.245245,0.055647
5.255255,0.055780
5.265265,0.055911
5.275275,0.056040
5.285285,0.056167
5.295295,0.056291
5.305305,0.056414
5.315315,0.056534
5.325325,0.056652
5.335335,0.056767
5.345345,0.056880
5.355355,0.056991
5.365365,0.057099
5.375375,0.057205
5.385385,0.057308
5.395395,0.057409
5.405405,0.057507
5.415415,0.057602
5.425425,0.057695
5.435435,0.057785
5.445445,0.057871
5.455455,0.057955
5.465465,0.058037
5.475475,0.058115
5.485485,0.058190
5.495495,0.058262
5.505506,0.058331
5.515516,0.058397
5.525526,0.058459
5.535536,0.058519
5.545546,0.058575
5.555556,0.058628
5.565566,0.058678
5.575576,0.058724
5.585586,0.058767
5.595596,0.058806
5.605606,0.058842
5.615616,0.058875
5.625626,0.058904
5.635636,0.058930
5.645646,0.058952
5.655656,0.058970
5.665666,0.058985
5.675676,0.058996
5.685686,0.059003
5.695696,0.059007
5.705706,0.059007
5.715716,0.059004
5.725726,0.058996
5.735736,0.058985
5.745746,0.058970
5.755756,0.058952
5.765766,0.058929
5.775776,0.058903
5.785786,0.058873
5.795796,0.058839
5.805806,0.058802
5.815816,0.058760
5.825826,0.058715
5.835836,0.058666
5.845846,0.058613
5.855856,0.058557
5.865866,0.058496
5.875876,0.058432
5.885886,0.058364
5.895896,0.058292
5.905906,0.058217
5.915916,0.058137
5.925926,0.058054
5.935936,0.057968
5.945946,0.057877
5.955956,0.057783
5.965966,0.057685
5.975976,0.057584
5.985986,0.057479
5.995996,0.057370
6.006006,0.057258
6.016016,0.057143
6.026026,0.057023
6.036036,0.056901
6.046046,0.056775
6.056056,0.056646
6.066066,0.056513
6.076076,0.056377
6.086086,0.056238
6.096096,0.056095
6.106106,0.055949
6.116116,0.055801
6.126126,0.055649
6.136136,0.055494
6.146146,0.055336
6.156156,0.055175
6.166166,0.055011
6.176176,0.054845
6.186186,0.054676
6.196196,0.054504
6.206206,0.054329
6.216216,0.054152
6.226226,0.053972
6.236236,0.053789
6.246246,0.053605
6.256256,0.053417
6.266266,0.053228
6.276276,0.053036
6.286286,0.052842
6.296296,0.052646
6.306306,0.052448
6.316316,0.052248
6.326326,0.052046
6.336336,0.051842
6.346346,0.051636
6.356356,0.051429
6.366366,0.051220
6.376376,0.051009
6.386386,0.050796
6.396396,0.050583
6.406406,0.050367
6.416416,0.050151
6.426426,0.049933
6.436436,0.049714
6.446446,0.049494
6.456456,0.049273
6.466466,0.049050
6.476476,0.048827
6.486486,0.048603
6.496496,0.048378
6.506507,0.048152
6.516517,0.047926
6.526527,0.047699
6.536537,0.047472
6.546547,0.047244
6.556557,0.047015
6.566567,0.046786
6.576577,0.046557
6.586587,0.046328
6.596597,0.046098
6.606607,0.045868
6.616617,0.045638
6.626627,0.045408
6.636637,0.045179
6.646647,0.044949
6.656657,0.044719
6.666667,0.044490
6.676677,0.044261
6.686687,0.044032
6.696697,0.043803
6.706707,0.043575
6.716717,0.043347
6.726727,0.043120
6.736737,0.042893
6.746747,0.042667
6.756757,0.042442
6.766767,0.042217
6.776777,0.041993
6.786787,0.041770
6.796797,0.041547
6.806807,0.041325
6.816817,0.041105
6.826827,0.040885
6.836837,0.040666
6.846847,0.040448
6.856857,0.040231
6.866867,0.040015
6.876877,0.039800
6.886887,0.039586
6.896897,0.039373
6.906907,0.039162
6.916917,0.038952
6.926927,0.038742
6.936937,0.038535
6.946947,0.038328
6.956957,0.038123
6.966967,0.037919
6.976977,0.037716
6.986987,0.037515
6.996997,0.037315
7.007007,0.037116
7.017017,0.036919
7.027027,0.036723
7.037037,0.036529
7.047047,0.036336
7.057057,0.036144
7.067067,0.035954
7.077077,0.035766
7.087087,0.035579
7.097097,0.035393
7.107107,0.035209
7.117117,0.035026
7.127127,0.034845
7.137137,0.034666
7.147147,0.034488
7.157157,0.034311
7.167167,0.034137
7.177177,0.033963
7.187187,0.033791
7.197197,0.033621
7.207207,0.033452
7.217217,0.033285
7.227227,0.033120
7.237237,0.032956
7.247247,0.032793
7.257257,0.032632
7.267267,0.032473
